name,url,stars
python-art,https://github.com/zero-to-mastery/python-art.git,21
hacktoberfest-scala-algorithms,https://github.com/sentenza/hacktoberfest-scala-algorithms.git,21
CSS-Art-Hacktoberfest-Edition,https://github.com/zero-to-mastery/CSS-Art-Hacktoberfest-Edition.git,20
Hacktoberfest2019,https://github.com/rcvaram/Hacktoberfest2019.git,20
Pretty-Readme,https://github.com/M4cs/Pretty-Readme.git,20
hacktoberfest19,https://github.com/rafiudd/hacktoberfest19.git,20
Hacktoberfest-2k18,https://github.com/WebClub-NITK/Hacktoberfest-2k18.git,19
DS_Algo,https://github.com/nb2998/DS_Algo.git,18
website,https://github.com/SEAPUNK/website.git,18
Hacktoberfest2k19,https://github.com/HrithikMittal/Hacktoberfest2k19.git,18
Hacktoberfest,https://github.com/AllenCompSci/Hacktoberfest.git,17
the-hallow,https://github.com/fabric-community/the-hallow.git,17
hacktoberfest2019,https://github.com/WebMobTechnologies/hacktoberfest2019.git,17
open-source-enthusiasts,https://github.com/ashiishme/open-source-enthusiasts.git,17
coding_challenge-31,https://github.com/zero-to-mastery/coding_challenge-31.git,17
hacktoberfest,https://github.com/rust-br/hacktoberfest.git,17
BuildTravelCards,https://github.com/s-Hale/BuildTravelCards.git,16
HacktoberFest2020,https://github.com/Rishikesh-12/HacktoberFest2020.git,16
hacktoberfest-beginner,https://github.com/mekowalski/hacktoberfest-beginner.git,16
