,Title,Views,Likes,Dislikes,Comments,Date
52,Yaar Jigree Kasooti Degree Season 2 | Episode 2 ‐ RUSTICATE | Latest Punjabi Web Series 2020,6189614,447686,4157,40641,03-10-2020
53,NEW! Ep 3004 - Abdul बीमार | Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा Comedy,15044498,179868,16688,8576,30-09-2020
54,BB Ki Vines- | ManglooSutra |,15021394,1949746,27691,118207,30-09-2020
55,CRAZY ways to SNEAK SNACKS into THE MOVIES! 11 Ways To Sneak FOOD & Funny Situations by Crafty Panda,16185774,98642,23567,2133,30-09-2020
56,BLACKPINK – ‘Lovesick Girls’ M/V,128943430,9029006,115758,1468073,01-10-2020
57,Yaar Jigree Kasooti Degree Season 2 | Episode 1 - HOSTEL | Latest Punjabi Web Series 2020,8575117,791075,6735,321739,30-09-2020
58,Meri Girlfriend ka Boyfriend | the mridul | Pragati | Nitin,5158221,136744,8379,6867,01-10-2020
59,"Taaron Ke Shehar Song: Neha Kakkar, Sunny Kaushal | Jubin Nautiyal,Jaani | Bhushan Kumar | Arvindr K",57170160,1395712,90444,96700,20-09-2020
60,Biggest Burger Making Challenge | വലിയ ഒരു യമണ്ടൻ ബർഗർ ഉണ്ടാക്കിയാലോ | M4 TECH VLOG |,1028625,89819,2339,5424,06-10-2020
61,"Kumkum Bhagya | Kundali Bhagya | Special Episode | 5th Oct, Mon, 9 PM - 10 PM | Promo | Zee TV",5131646,32382,3152,2838,01-10-2020
62,Getting The Moustache Hairstyle (because I said I will🥺),4960337,920186,16437,53514,02-10-2020
63,Kinne Aye Kinne Gye (Full Video) | Ranjit Bawa | Sukh Brar | Lovely Noor | Latest Punjabi Song 2020,2987650,263284,2920,36025,05-10-2020
64,ONLINE SCHOOL CLASSES || Rachit Rojha || Baklol Video,6237711,145476,20641,20818,26-09-2020
65,Hathras Case: पीएम मोदी ने ली हाथरस मामले की जानकारी? | PM Modi on Hathras Case | Yogi | Breaking,4210434,53700,25608,7500,30-09-2020
66,"Sawan Mein Lag Gayi Aag - Ginny Weds Sunny | Yami, Vikrant | Mika, Neha & Badshah | Payal D, Mohsin",23602425,232547,33853,12857,28-09-2020
67,Mind Voice Sothanaigal | Episode 2 | Comedy | Micset,1380929,155683,2203,8709,19-10-2020
68,Number Cut Gaya - Amit Bhadana,13918422,1060637,34397,113595,24-09-2020
69,Woh Tassavur Ka Aalam | Kareena Kapoor | Akshay Kumar | Udit Narayan | Alka Yagnik | Aitraaz Movie,7171383,48604,4782,1128,28-09-2020
70,BTS (방탄소년단) 'Savage Love' (Laxed – Siren Beat) [BTS Remix] Lyric Video,34616297,4277438,35061,352110,01-10-2020
71,Hum Royenge Itna | Sad Song | Bachpan Me Jise Chand Suna Tha | Latest Hindi Song | Maahi Queen,2650751,51852,3811,3324,30-09-2020
72,Part 11 | Mom and Son Comedy Series By Kaarthik Shankar,879523,51193,1276,2317,03-10-2020
73,Soorjan Wale | Amrinder Gill | Ammy Virk | Nimrat Khaira | Rhythm Boyz Entertainment,6372597,321780,5694,19528,29-09-2020
74,Phir Chala - Official Video | Ginny Weds Sunny | Yami – Vikrant | Jubin Nautiyal | Payal D | Kunaal,14678067,243351,6308,5081,01-10-2020
75,Couples | Then vs Now | Sanjhalika Vlog,2068620,21373,5519,2332,30-09-2020
76,Familyman Paavangal | Gopi & Sudhakar | Parithabangal,1146070,82272,2220,3033,03-10-2020
77,Shaadi Phir Barbaadi | the mridul | pragati | Nitin,17393571,275538,28700,13706,18-09-2020
78,GADBAD GHOTALA - | Elvish Yadav |,4264758,419901,17765,28196,28-09-2020
79,"Mann Jaa Ve (Full Song) Kay Vee Singh Ft. Khushi Punjaban | Cheetah, Ricky Malhi | Punjabi Song 2020",10057769,457842,20643,16908,27-09-2020
80,"Mirzapur 2 Trailer - Date Announcement | Pankaj Tripathi, Divyenndu | Amazon Original",4326805,151090,3254,6344,01-10-2020
81,Everything About Social Media | Bong Guy er Jhuli EP06 | The Bong Guy,1380223,285128,4719,16509,05-10-2020
82,Chaaha Hai Tujhko With Lyrics | 90's Sad Song | Aamir Khan | Manisha Koirala | Dard Bhare Gaane,3539923,22363,2852,1522,02-10-2020
